id,name,display_name
BDS,AA O'Browne,AA O'Browne
CRO1,AG Minns,AG Minns
ALP,Ade Bashorun,Ade Bashorun
HOH,Africanus Horton,Africanus\nHorton
ACT,Albert May,Albert\nMay
BHO,Alfred Fagon,Alfred\nFagon
CHL,Althea McNish,Althea\nMcNish
ASG,Ambrose Campbell,Ambrose Campbell
HHY,Amryl Johnson,Amryl Johnson
ACY,Amy A Garvey,Amy A Garvey
BTX,Amy Barbour-James,Amy Barbour-James
ASL,Amy Height,Amy Height
VAU,Andrea Levy,Andrea Levy
PIM,Andrew Salkey,Andrew Salkey
BOS1,Andy Hamilton,Andy Hamilton
PRR,Annie Brewster,Annie\nBrewster
CHC,Arthur Wharton,Arthur\nWharton
BLM,Asquith Xavier,Asquith Xavier
NEP,Aubrey Williams,Aubrey\nWilliams
HRC,Avril Coleridge-Taylor,Avril Coleridge-Taylor
BAY,Ayuba Suleiman Diallo,Ayuba\nSuleiman\nDiallo
OXC,BLK Arts Group,BLK Arts\nGroup
BMY,Barbara Burford,Barbara\nBurford
BZP,Baron Baker,Baron Baker
NOR,Belle Davis,Belle Davis
WHC,Ben Enwonwu,Ben\nEnwonwu
MIE,Ben Simmons,Ben\nSimmons
SES,Bernie Grant Centre,Bernie Grant\nCentre
CKS,Berto Pasuka,Berto Pasuka
BEC1,Betty Campbell,Betty Campbell
SOW,Betty Peters,Betty Peters
ALD,Bill Richmond,Bill Richmond
CGN,Billy Waters,Billy Waters
LAG,Black Art An'done,Black Art\nAn'done
BRI,Black Cultural Archives,Black Cultural Archives
SJW,Black Trans Alliance,Black Trans\nAlliance
RUG,Black-Art Gallery,Black-Art Gallery
SWK,BlackOut UK,BlackOut UK
QPW,Blair Blenman,Blair Blenman
KNL,Bob Travers,Bob Travers
HAL,Brenda Agard,Brenda Agard
MAH,Briton Hammon,Briton Hammon
WAC,Buchi Emecheta,Buchi\nEmecheta
EUS,CLR James,CLR James
HNX,Cab Kaye,Cab Kaye
BKG,Carlos Trower,Carlos Trower
WIG,Carmel Stuart,Carmel Stuart
CHP,Carmen Beckford,Carmen\nBeckford
BBB,Carmen England,Carmen\nEngland
PIC,Cassie Walmer,Cassie\nWalmer
EAC,Catalina of Motril,Catalina\nof Motril
LAN,Cec Thompson,Cec\nThompson
WHD,Cecil Belfield Clarke,Cecil Belfield Clarke
STP,Cecile Nobrega,Cecile Nobrega
BLA,Cesar Picton,Cesar Picton
HWY,Charlie Williams,Charlie\nWilliams
HWE,Chester Harriott,Chester Harriott
BEG,Chinwe Chukwuogo-Roy,Chinwe\nChukwuogo-Roy
DAE,Christian F Cole,Christian F Cole
HWW,Clare Deniz,Clare Deniz
STM,Claude McKay,Claude McKay
CTN,Claudia Jones,Claudia Jones
EAP,Clive Sullivan,Clive Sullivan
CPC,Connie Mark,Connie Mark
GUN,Count Suckle,Count Suckle
BUH,Creation of Liberation,Creation of Liberation
OAK,Cy Grant,Cy Grant
MRH,Cyril Blake,Cyril Blake
WIJ,Cyrille Regis,Cyrille Regis
ZWL,D L Clemetson,D L Clemetson
EAS,DJ Swing,DJ Swing
NOE,Danny Williams,Danny Williams
MOO,Darcus Howe,Darcus\nHowe
RUI,David Pitt,David\nPitt
NHA,Davidson Nicol,Davidson Nicol
ECO,Derek B,Derek B
HPC,Diane Charlemagne,Diane\nCharlemagne
SOK1,Dick Turpin,Dick Turpin
SOK,Dido Elizabeth Belle,Dido\nElizabeth\nBelle
HDN,Dixie Brown,Dixie Brown
HAI,Donald Locke,Donald Locke
LIS,Donald Rodney,Donald\nRodney
FUB,Dorothea A Hendry,Dorothea A Hendry
CFM,Dorothy Kuya,Dorothy Kuya
HIL,Duke Vin,Duke Vin
NFD,Earl Cameron,Earl Cameron
KNB,Edmund Jenkins,Edmund\nJenkins
PKR,Edmundo Ros,Edmundo Ros
WEH,Edna Thomas,Edna\nThomas
RSQ,Edric Connor,Edric\nConnor
RAL,Elisabeth Welch,Elisabeth\nWelch
SGT,Errol Brown,Errol Brown
HOR,Esther Bruce,Esther Bruce
TCR,Esther and Rebecca,Esther and\nRebecca
NOP,Eva Lowe,Eva\nLowe
SUT,Evelyn Dove,Evelyn Dove
EDR,Everton Weekes,Everton\nWeekes
QBY,Exist Loudly,Exist Loudly
BAB,Fanny Coker,Fanny\nCoker
WAN,Fanny Eaton,Fanny\nEaton
CPK,FannyAnn Eddy,FannyAnn Eddy
HRV,Felix Dexter,Felix\nDexter
CPN,Felix Hercules,Felix Hercules
WES1,Francis Barber,Francis Barber
KSH,Frank Critchlow,Frank\nCritchlow
KNT,Frank Dove,Frank Dove
OSY,Frank Rollock,Frank Rollock
SOE,Garland Wilson,Garland\nWilson
WOO,Geoff Love,Geoff Love
EDR1,George Africanus,George\nAfricanus
GDG,George Berry,George\nBerry
LAD,George Bridgetower,George Bridgetower
GPS,George Edward Doney,George Edward\nDoney
CSD,George Padmore,George Padmore
HTD,George Powe,George Powe
VIC,George Rose,George\nRose
PAG,George Watteau,George Watteau
KPA,Gertrude Paul,Gertrude\nPaul
TOT,Henry Sylvester-Williams,Henry Sylvester-Williams
CAW,Harold Jackman,Harold\nJackman
CHO,Harold Moody,Harold Moody
TPN,Harry Baird,Harry Baird
REP,Harry Edward,Harry\nEdward
REB,Harry Quashi,Harry Quashi
WER,Helene Yelin,Helene Yelin
PLA,Henri Jetto,Henri Jetto
LOU,Henry Thomas,Henry Thomas
HOL,IA Audain,IA\nAudain
UXB,Iggy Quail,Iggy\nQuail
SLS,Ignatius Sancho,Ignatius\nSancho
DAH,Ipswich Man,Ipswich Man
SHH,Ira Aldridge,Ira Aldridge
HWC,Isabelle Lucas,Isabelle Lucas
KBN,Ivor Cummings,Ivor Cummings
WBP,Ivory Bangle Lady,Ivory Bangle Lady
NOH,James Samuel Risien Russell,J Risien Russell
PIN,James Jackson Brown,J J Brown
MAV,Jack Leslie,Jack Leslie
WMB,Jack London,Jack London
PUB,Jacques Francis,Jacques Francis
GRP,James Berry,James\nBerry
MAR,James Peters,James\nPeters
TBC,Jane Harry,Jane Harry
NIE,Janet Olufunmilayo Adegoke,Janet\nAdegoke
WFN,Jerry Williams,Jerry Williams
THA,Jessica Huntley,Jessica\nHuntley
TOH,Jim Williams,Jim\nWilliams
CAT,Jimmie Daniels,Jimmie\nDaniels
FAR,Joanna Vassa,Joanna\nVassa
LSQ,Joanne Campbell,Joanne Campbell
WOP,Jocelyn Barrow,Jocelyn Barrow
SHB,Joe Casely-Hayford,Joe\nCasely-Hayford
ELP,Joe Clough,Joe Clough
LEY,Joe Green,Joe Green
OVL,Joe Hunte,Joe Hunte
HRW,Joe Lashley,Joe Lashley
CAL1,John Alcindor,John Alcindor
BAT,John Archer,John\nArcher
RMD,John Blanke,John Blanke
WAF,John Brown,John Brown
KIP,John Charles,John Charles
TEM,John Deman,John Deman
UPB,John Edmonstone,John Edmonstone
UPN,John Kent,John Kent
FIP,John La Rose,John La Rose
MON,John Perkins,John\nPerkins
STB,John Ystumllyn,John\nYstumllyn
CHI,Jon Daniel,Jon Daniel
LAR,Jonathan Strong,Jonathan Strong
ROO,Joseph Emidy,Joseph Emidy
MAA,Joseph Johnson,Joseph\nJohnson
PER,Joseph Olubo,Joseph Olubo
WEP,Joseph St Clair,Joseph St Clair
HIV,Josephine Morcashani,Josephine\nMorcashani
WEA,Josie Woods,Josie\nWoods
WOL,Julius Soubise,Julius Soubise
ZCW,Justin Fashunu,Justin\nFashunu
KIC,Katherine Auker,Katherine\nAuker
BTK,Kathleen Wrasama,Kathleen Wrasama
GAH,Khadija Saye,Khadija\nSaye
RUM,Laureen Sylvestre,Laureen\nSylvestre
ALE,Laurel Aitken,Laurel Aitken
ELC,Laurie Cunningham,Laurie Cunningham
WAS,Len Garrison,Len\nGarrison
UPM,Len Woodley,Len Woodley
ICK,Leon Riley,Leon\nRiley
SWC,Leslie Hutchinson,Leslie Hutchinson
WMB1,Lewis Bruce,Lewis Bruce
KWG,Lilian Bader,Lilian Bader
HCL,Lionel Morrison,Lionel Morrison
GRE,Louis Black,Louis Black
CHE,Lulu Coote,Lulu Coote
WSH,Mabel Dinah,Mabel\nDinah
ROV,Madeleine Bechet,Madeleine\nBechet
HBT,Marcus Garvey,Marcus Garvey
AGL,Marlene Bogle,Marlene Bogle
WEK,Mary Prince,Mary\nPrince
NOD,Mary Seacole,Mary Seacole
BAS,Massa Kendrick,Massa\nKendrick
FAI,Maud Sulter,Maud Sulter
EGW,Mavis Best,Mavis Best
LNB,Michael Akintaro,Michael\nAkintaro
AME,Mollie Hunte,Mollie Hunte
UPP,Momodou Samba,Momodou Samba
KNG,Nana Bonsu,Nana Bonsu
WOG,Norman Beaton,Norman Beaton
DEB,OBAALA,OBAALA
SJP,Olaudah Equiano,Olaudah\nEquiano
FYC,Olive Morris,Olive Morris
CND,Oliver Tambo,Oliver Tambo
EFY,Omoniyi Bandele,Omoniyi Bandele
THB,Oscar Abrams,Oscar Abrams
NOA,Oswald Murray,Oswald\nMurray
SBM,Ottobah Cugoano,Ottobah Cugoano
EMB,Pablo Fanque,Pablo\nFanque
LES,Patrick Nelson,Patrick Nelson
CAL,Patti Flynn,Patti Flynn
TFP,Paulette Wilson,Paulette\nWilson
STG,Pauline Henriques,Pauline\nHenriques
SRA,Pearl Alcock,Pearl\nAlcock
GRH,Pearl Prescod,Pearl\nPrescod
HAM,Philip Quaque,Philip Quaque
RIH,Princess Ademola,Princess Ademola
FIR,Princess Tshai,Princess Tshai
EAB,R B A Wellesley-Cole,R B A Wellesley-Cole
STO1,Ras Makonnen,Ras Makonnen
NGW,Reginald Foresythe,Reginald\nForesythe
CAS,Richard Baker,Richard Baker
WAT,Richie Riley,Richie Riley
MTC,Robert Adams,Robert\nAdams
CPS,Robert Broadhurst,Robert Broadhurst
WIP,Robert Walker,Robert Walker
MHL,Robert Wedderburn,Robert\nWedderburn
GGN,Roddy Kentish,Roddy Kentish
EAA,Ronald Moody,Ronald\nMoody
BAR,Rotimi Fani-Kayode,Rotimi Fani-Kayode
QUE,Roy A K Heath,Roy A K\nHeath
PAD,Roy Francis,Roy\nFrancis
BAN,Rudi Patterson,Rudi\nPatterson
MDN,Sam King,Sam King
ODS,Sam U Morris,Sam U Morris
GOR,Sara Baartman,Sara Baartman
NWB,Snakehips Johnson,Snakehips Johnson
EAH,Stuart Hall,Stuart Hall
BOR1,Syd Burke,Syd\nBurke
MOP,TES Scholes,TES Scholes
SNA,Tex Ajetunmobi,Tex\nAjetunmobi
BOR,The Africa Centre,The Africa Centre
NHG,The Yaa Centre,The Yaa\nCentre
BOS,Thin Black Line(s),Thin\nBlack\nLine(s)
HOP,Thomas Williams,Thomas\nWilliams
GLR,Tom Molineaux,Tom\nMolineaux
KBY,UK Black Pride,UK Black Pride
HSK,Ukawsaw Gronniosaw,Ukawsaw\nGronniosaw
HGT,Una Marson,Una Marson
EPP,Uzo Egonu,Uzo Egonu
TUG,Val McCalla,Val\nMcCalla
SWN,Vincent Reid,Vincent Reid
SPB,Walter Tull,Walter Tull
BAC,William Brown,William\nBrown
SOU,William Clarke,William Clarke
WSP,William Cuffay,William Cuffay
ESQ,William Daggers,William\nDaggers
SUH,Winifred Atwell,Winifred Atwell
SOR,Yemi Agibade,Yemi Agibade
NDN,Zami: A New Spelling of My Name,Zami 1985
RAP,Scipio Africanus,Scipio\nAfricanus
TBY,Sarah Parker Remond,Sarah Parker Remond
DOH,Shim Sham Club,Shim Sham Club
WAA,James Clarke,James\nClarke